source_genesymbol	target_genesymbol	from	to	consensus_stimulation	consensus_inhibition
BACH2	ITPKB	Q9BYV9	B2R9J0	1	0
BACH2	JMJD1C	Q9BYV9	B7ZLC8	1	0
BACH2	KCTD20	Q9BYV9	Q7Z5Y7	1	0
BACH2	KLHL21	Q9BYV9	Q9UJP4	1	0
BACH2	LBR	Q9BYV9	Q14739	1	0
BACH2	LRRK2	Q9BYV9	Q17RV3	1	0
BACH2	MAFG	Q9BYV9	A0A024R8X1	1	0
BACH2	MGAT5	Q9BYV9	Q09328	1	0
BACH2	MYBPC1	Q9BYV9	Q00872	1	0
BACH2	OSBPL10	Q9BYV9	Q9BXB5	1	0
BACH2	PLXND1	Q9BYV9	Q9Y4D7	1	0
BACH2	PRDM10	Q9BYV9	Q9NQV6	1	0
BACH2	PRDM2	Q9BYV9	Q13029	1	0
BACH2	PSAP	Q9BYV9	P07602	1	0
BACH2	PURB	Q9BYV9	Q96QR8	1	0
BACH2	RASAL3	Q9BYV9	Q86YV0	1	0
BACH2	RASSF2	Q9BYV9	P50749	1	0
BACH2	RFFL	Q9BYV9	Q8WZ73	1	0
BACH2	RGS3	Q9BYV9	A0A024R831	1	0
BACH2	RP1	Q9BYV9	P56715	1	0
BACH2	SEMA4D	Q9BYV9	Q92854	1	0
BACH2	SIAH2	Q9BYV9	O43255	1	0
BACH2	SLC16A6	Q9BYV9	A0A024R8J3	1	0
BACH2	SLC6A6	Q9BYV9	A0A087WY96	1	0
BACH2	SLC7A7	Q9BYV9	A0A0S2Z502	1	0
